"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","chosen_image_index","correct_choice"
"true","false","[]","[]","[]","preload","0","6036","0.0-0.0","F9960DB460374E858128A937EB6BEBE5","019cee69-a305-7cd8-a686-cefafe913cd2","019cee5f-9f1f-7e58-80c1-9ba679249cc3","","","","","","","","","","","",""
"","","","","","instructions","1","10252","0.0-1.0","F9960DB460374E858128A937EB6BEBE5","019cee69-a305-7cd8-a686-cefafe913cd2","019cee5f-9f1f-7e58-80c1-9ba679249cc3","[{""page_index"":0,""viewing_time"":4215}]","4215","","","","","","","","","",""
"","","","","","instructions","2","19727","0.0-2.0","F9960DB460374E858128A937EB6BEBE5","019cee69-a305-7cd8-a686-cefafe913cd2","019cee5f-9f1f-7e58-80c1-9ba679249cc3","[{""page_index"":0,""viewing_time"":9467}]","9474","","","","","","","","","",""
"true","","","","","fullscreen","3","23436","0.0-3.0","F9960DB460374E858128A937EB6BEBE5","019cee69-a305-7cd8-a686-cefafe913cd2","019cee5f-9f1f-7e58-80c1-9ba679249cc3","","2706","","","","","","","","","",""
"","","","","","instructions","4","35818","0.0-4.0","F9960DB460374E858128A937EB6BEBE5","019cee69-a305-7cd8-a686-cefafe913cd2","019cee5f-9f1f-7e58-80c1-9ba679249cc3","[{""page_index"":0,""viewing_time"":12382}]","12383","","","","","","","","","",""
"","","","","","instructions","5","45618","0.0-5.0","F9960DB460374E858128A937EB6BEBE5","019cee69-a305-7cd8-a686-cefafe913cd2","019cee5f-9f1f-7e58-80c1-9ba679249cc3","[{""page_index"":0,""viewing_time"":9799}]","9800","","","","","","","","","",""
"","","","","","html-keyboard-response","6","49622","0.0-6.0","F9960DB460374E858128A937EB6BEBE5","019cee69-a305-7cd8-a686-cefafe913cd2","019cee5f-9f1f-7e58-80c1-9ba679249cc3","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","7","52626","0.0-7.0","F9960DB460374E858128A937EB6BEBE5","019cee69-a305-7cd8-a686-cefafe913cd2","019cee5f-9f1f-7e58-80c1-9ba679249cc3","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","",""
"","","","","","html-keyboard-response","8","56627","0.0-8.0","F9960DB460374E858128A937EB6BEBE5","019cee69-a305-7cd8-a686-cefafe913cd2","019cee5f-9f1f-7e58-80c1-9ba679249cc3","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","9","57669","0.0-9.0","F9960DB460374E858128A937EB6BEBE5","019cee69-a305-7cd8-a686-cefafe913cd2","019cee5f-9f1f-7e58-80c1-9ba679249cc3","","1040","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","",""
