"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","folder","sequence_type","valuable_image_index","reward_type","correct_choice","distance_from_x","target_X","chosen_image_index","is_x_plus_dist"
"true","false","[]","[]","[]","preload","0","7624","0.0-0.0","9725A61279B24905B5C03BF27E801513","019db621-884e-7135-b965-2bc8d021fb1f","019db609-2a35-76b9-807a-e0c4c153f4bb","","","","","","","","","","","","","",""
"","","","","","instructions","1","8788","0.0-1.0","9725A61279B24905B5C03BF27E801513","019db621-884e-7135-b965-2bc8d021fb1f","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":1162}]","1162","","","","","","","","","","","",""
"","","","","","instructions","2","11268","0.0-2.0","9725A61279B24905B5C03BF27E801513","019db621-884e-7135-b965-2bc8d021fb1f","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":2480}]","2480","","","","","","","","","","","",""
"true","","","","","fullscreen","3","13654","0.0-3.0","9725A61279B24905B5C03BF27E801513","019db621-884e-7135-b965-2bc8d021fb1f","019db609-2a35-76b9-807a-e0c4c153f4bb","","1347","","","","","","","","","","","",""
"","","","","","instructions","4","17844","0.0-4.0","9725A61279B24905B5C03BF27E801513","019db621-884e-7135-b965-2bc8d021fb1f","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":4190}]","4190","","","","","","","","","","","",""
"","","","","","instructions","5","21740","0.0-5.0","9725A61279B24905B5C03BF27E801513","019db621-884e-7135-b965-2bc8d021fb1f","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":3895}]","3896","","","","","","","","","","","",""
"","","","","","html-button-response","6","23740","0.0-6.0","9725A61279B24905B5C03BF27E801513","019db621-884e-7135-b965-2bc8d021fb1f","019db609-2a35-76b9-807a-e0c4c153f4bb","","1999","
            <div class=""stimulus-container"">
                <img src=""images/schematic_sequence/supermarket_scheme/supermarket_scheme_5.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","supermarket_scheme","","","","","","","",""
"","","","","","html-keyboard-response","7","31743","0.0-7.0","9725A61279B24905B5C03BF27E801513","019db621-884e-7135-b965-2bc8d021fb1f","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/schematic_sequence/supermarket_scheme/supermarket_scheme_5.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/gray.png"" style=""width: 150px; height: 150px; border: 5px solid grey; border-radius: 15px;"">
                    <p style=""color: grey; font-weight: bold; font-size: 28px; margin-top: 15px;"">NEUTRAL VALUE</p>
                </div>
            </div>","null","part2_value_learning","supermarket_scheme","schematic_sequence","5","neutral","","","","",""
"","","","","","html-keyboard-response","8","36749","0.0-8.0","9725A61279B24905B5C03BF27E801513","019db621-884e-7135-b965-2bc8d021fb1f","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","38643","0.0-9.0","9725A61279B24905B5C03BF27E801513","019db621-884e-7135-b965-2bc8d021fb1f","019db609-2a35-76b9-807a-e0c4c153f4bb","","1893","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_4.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","kitchen_operations_semantic","","","","","","","",""
"","","","","","html-keyboard-response","10","46646","0.0-10.0","9725A61279B24905B5C03BF27E801513","019db621-884e-7135-b965-2bc8d021fb1f","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_4.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/gray.png"" style=""width: 150px; height: 150px; border: 5px solid grey; border-radius: 15px;"">
                    <p style=""color: grey; font-weight: bold; font-size: 28px; margin-top: 15px;"">NEUTRAL VALUE</p>
                </div>
            </div>","null","part2_value_learning","kitchen_operations_semantic","semantic_sequence","4","neutral","","","","",""
"","","","","","html-keyboard-response","11","51654","0.0-11.0","9725A61279B24905B5C03BF27E801513","019db621-884e-7135-b965-2bc8d021fb1f","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","12","79203","0.0-12.0","9725A61279B24905B5C03BF27E801513","019db621-884e-7135-b965-2bc8d021fb1f","019db609-2a35-76b9-807a-e0c4c153f4bb","","27548","
            <div class=""stimulus-container"">
                <img src=""images/schematic_sequence/interview_scheme/interview_scheme_4.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","interview_scheme","","","","","","","",""
"","","","","","html-keyboard-response","13","87205","0.0-13.0","9725A61279B24905B5C03BF27E801513","019db621-884e-7135-b965-2bc8d021fb1f","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/schematic_sequence/interview_scheme/interview_scheme_4.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/dollar.png"" style=""width: 150px; height: 150px; border: 5px solid green; border-radius: 15px;"">
                    <p style=""color: green; font-weight: bold; font-size: 28px; margin-top: 15px;"">WORTH MONEY</p>
                </div>
            </div>","null","part2_value_learning","interview_scheme","schematic_sequence","4","valuable","","","","",""
"","","","","","html-keyboard-response","14","92209","0.0-14.0","9725A61279B24905B5C03BF27E801513","019db621-884e-7135-b965-2bc8d021fb1f","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
