"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","target_X","l_dist","r_dist","chosen_image_index","selected_after_X","correct_choice"
"true","false","[]","[]","[]","preload","0","5932","0.0-0.0","5A5BF28B8EFE47D9AF7F4ED88DE6290B","019d6663-99bf-74bb-ab87-70561dec4260","019d6630-2071-75cb-8026-6699844a2719","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","8935","0.0-1.0","5A5BF28B8EFE47D9AF7F4ED88DE6290B","019d6663-99bf-74bb-ab87-70561dec4260","019d6630-2071-75cb-8026-6699844a2719","[{""page_index"":0,""viewing_time"":3000}]","3002","","","","","","","","","","","","","","",""
"","","","","","instructions","2","15634","0.0-2.0","5A5BF28B8EFE47D9AF7F4ED88DE6290B","019d6663-99bf-74bb-ab87-70561dec4260","019d6630-2071-75cb-8026-6699844a2719","[{""page_index"":0,""viewing_time"":6697}]","6698","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","18104","0.0-3.0","5A5BF28B8EFE47D9AF7F4ED88DE6290B","019d6663-99bf-74bb-ab87-70561dec4260","019d6630-2071-75cb-8026-6699844a2719","","1433","","","","","","","","","","","","","","",""
"","","","","","instructions","4","32866","0.0-4.0","5A5BF28B8EFE47D9AF7F4ED88DE6290B","019d6663-99bf-74bb-ab87-70561dec4260","019d6630-2071-75cb-8026-6699844a2719","[{""page_index"":0,""viewing_time"":14759}]","14761","","","","","","","","","","","","","","",""
"","","","","","instructions","5","38451","0.0-5.0","5A5BF28B8EFE47D9AF7F4ED88DE6290B","019d6663-99bf-74bb-ab87-70561dec4260","019d6630-2071-75cb-8026-6699844a2719","[{""page_index"":0,""viewing_time"":5583}]","5585","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","42455","0.0-6.0","5A5BF28B8EFE47D9AF7F4ED88DE6290B","019d6663-99bf-74bb-ab87-70561dec4260","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","7","43367","0.0-7.0","5A5BF28B8EFE47D9AF7F4ED88DE6290B","019d6663-99bf-74bb-ab87-70561dec4260","019d6630-2071-75cb-8026-6699844a2719","","908","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","47384","0.0-8.0","5A5BF28B8EFE47D9AF7F4ED88DE6290B","019d6663-99bf-74bb-ab87-70561dec4260","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","9","48015","0.0-9.0","5A5BF28B8EFE47D9AF7F4ED88DE6290B","019d6663-99bf-74bb-ab87-70561dec4260","019d6630-2071-75cb-8026-6699844a2719","","629","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","1","example_question","2","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","52024","0.0-10.0","5A5BF28B8EFE47D9AF7F4ED88DE6290B","019d6663-99bf-74bb-ab87-70561dec4260","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","11","53271","0.0-11.0","5A5BF28B8EFE47D9AF7F4ED88DE6290B","019d6663-99bf-74bb-ab87-70561dec4260","019d6630-2071-75cb-8026-6699844a2719","","1246","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","57278","0.0-12.0","5A5BF28B8EFE47D9AF7F4ED88DE6290B","019d6663-99bf-74bb-ab87-70561dec4260","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
